title,goals,movementcluster,time_period,country,location,location_desc,pcs,methods_1,methods_2,methods_3,methods_4,methods_5,methods_6,methods_addl,segment_length,leaders,partners,allies,social_elites,opponents,opp_nvresponses,campaigner_violence,repressive_violence,cluster,classification,group,groups_1,groups_2,groups_3,groups_4,groups_5,groups_6,success_goal,success_survival,success_growth,success_total,success_notes,url
"Granite workers strike, picket, and march against wage stagnation and job insecurity, 1933","Raise in pay, stopping of paycuts and layoffs",,"1 April, 1933 to 1 June, 1933",['United States'],"Barre, Vermont",,['Local Community or Neighborhood-level Campaign'],"['016. Picketing', '116. Generalised strike']","['016. Picketing', '116. Generalised strike']","['016. Picketing', '116. Generalised strike']","['016. Picketing', '116. Generalised strike']","['016. Picketing', '116. Generalised strike']","['016. Picketing', '116. Generalised strike']",,10 days,"Stonecutters' Union, Quarry Workers Union",,"civilians in Barre, ACLU, Vermont Federation of Labor",,"Washington County Sheriff's office, Vermont Governor Stanley C. Wilson, Barre-based Granite Companies, National Guard",Not known.,Armed strikers attacked citizen strikebreakers,Not known.,['Economic Justice'],,,"[""Stonecutters' Union"", 'Quarry Workers Union']","[""Stonecutters' Union"", 'Quarry Workers Union', 'civilians in Barre']","[""Stonecutters' Union"", 'Quarry Workers Union']","[""Stonecutters' Union"", 'Quarry Workers Union']","['Quarry Workers Union', 'ACLU', 'civillians in Barre', 'Vermont Federation of Labor']","['Quarry Workers Union', 'civillians in Barre']",4 out of 6 points,1 out of 1 points,1 out of 3 points,6 out of 10 points,,https://nvdatabase.swarthmore.edu/content/granite-workers-strike-picket-and-march-against-wage-stagnation-and-job-insecurity-1933
"University of Kentucky Students Hunger Strike to Meet Basic Needs, 2019.","Originally, 1) Establish and fund a physical Basic Needs Center, 2) Establish a Basic Needs Fund 3) Create a full-time Basic Needs staff position. Eventually this campaign merged with another campaign, whose goals were 1) Put BSAC members on search committees for hiring of senior-level administrative officials, 2) revise the William C Parker Scholarship to benefit explicitly Black students, 3) standardize College Diversity Officer roles, 4) release the findings from a 2016 campus climate survey, and 5) remove the “O’Hanlon Mural,” from a campus hall, a mural depicting enslaved Africans.",,"27 March, 2019 to 2 April, 2019",['United States'],"Lexington, Kentucky",University of Kentucky,,"['001. Public speeches', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['001. Public speeches', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '193. Overloading of administrative systems']","['001. Public speeches', '002. Letters of opposition or support', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']","['001. Public speeches', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '173. Nonviolent occupation']","['001. Public speeches', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '173. Nonviolent occupation']","['001. Public speeches', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)']",,1 day,Basic Needs Campaign at the University of Kentucky,,,President Capilouto,President Capilouto,"sending emails with misinformation, giving students an ultimatum",No campaigner violence.,No repressive violence.,['Human Rights'],['Change'],,['Basic Needs Campaign at the University of Kentucky'],,,,,['President Capilouto'],5 out of 6 points,1 out of 1 points,3 out of 3 points,9 out of 10 points,"Students won 7 of the 8 demands, reaching a compromise on the last demand. The campaign grew from 20 students to over 300.",https://nvdatabase.swarthmore.edu/content/university-kentucky-students-hunger-strike-meet-basic-needs-2019
"Workers at Harvard University-owned DoubleTree Hotel win fight for unionization, 2013-2015",Workers at DoubleTree Hilton Hotel Boston demanded a fair processes in deciding to unionize with UNITE HERE! Local 26 from their management.,,"11 March, 2013 to 7 April, 2015",['United States'],"Boston, Massachusetts",,"['(Mainly or Initiated by) People of Color', '(Mainly or Initiated by) Women']",['006. Group or mass petitions'],"['009. Leaflets, pamphlets, and books', '010. Newspapers and journals']",['047. Assemblies of protest or support'],['010. Newspapers and journals'],"['001. Public speeches', '061. Boycott of social affairs']","['006. Group or mass petitions', '009. Leaflets, pamphlets, and books', '047. Assemblies of protest or support', ""071. Consumers' boycott"", '097. Protest strike']",,4 months,Housekeepers at DoubleTree Hotel Boston,"Student Labor Activist Movement at Harvard University, UNITE HERE! Local 26 members, Cambridge United for Justice With Peace","Harvard students and faculty, Nadeem Mazen, Dennis Benzan,","Boston City Councilor At-Large Felix G. Arroyo,  Cambridge city councillor Leland Cheung, councillor E. Denise Simmons, councillor Marc McGovern",DoubleTree Hotel Boston,"Refusal of requests, Denial of worker's desires to the public, threatening workers with name-calling, threatening workers with unemployment",No campaigner violence,No repressive violence,['Economic Justice'],['Change'],"['Hotel Workers', 'students', 'union members and organizers']","['SLAM', 'Hotel workers', 'UNITE HERE! Labor 26']",,,,,['Cambridge United for Justice With Peace'],6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,"The workers at DoubleTree successfully negotiated their first contract, which brought their working conditions in line with those at the other hotels represented by Local 26. They also had one unique provision: workers have the explicit right to negotiate for lighter loads during pregnancy––the first of its kind in Boston hotels.  
Their movement sustained itself and grew support throughout its existence.",https://nvdatabase.swarthmore.edu/content/workers-harvard-university-owned-doubletree-hotel-win-fight-unionization-2013-2015
"Vermont Migrant Farmworkers March and Picket for Return of Withheld Pay, 2014","Return of pay for three workers who had quit due to stressful living conditions and withheld pay.
Broadly, a recognition of migrant farmworkers' basic needs.",,"15 May, 2014 to 16 May, 2014",['United States'],"Ferrisburgh, VT",,['(Mainly or Initiated by) People of Color'],['113. Strike by resignation'],,,['038. Marches'],['016. Picketing'],['001. Public speeches'],,3-5 hours,Workers at Deer Valley Farm,Migrant Justice,Vermont Public Radio,,"Ray Brands, Ray Brands' son",No nonviolent responses of opponent.,No campaigner violence.,Threat of police violence,['Economic Justice'],['Defense'],['Migrant Farmworkers'],['Workers at Deer Valley Farm (joined)'],,['Migrant Justice (joined)'],['Vermont Public Radio (joined)'],,,6 out of 6 points,1 out of 1 points,2 out of 3 points,9 out of 10 points,"Workers received their withheld pay, and the action contributed to the momentum of other efforts to improve working conditions for migrant farmworkers.",https://nvdatabase.swarthmore.edu/content/vermont-migrant-farmworkers-march-and-picket-return-withheld-pay-2014
Vermont Migrant Farmworkers picket and march for Ben and Jerry’s to sign pledge for Milk With Dignity,"-Recognition of Human Rights by Vermont Farmers (broadly, goal of organization)
-Allyship with Ben & Jerry's in the fight for Immigrant Human Rights",,"23 October, 2014 to 3 October, 2017",['United States'],Vermont,,,"['001. Public speeches', '007. Slogans, caricatures, and symbols']","['016. Picketing', '038. Marches', '047. Assemblies of protest or support']",,['016. Picketing'],"['007. Slogans, caricatures, and symbols', '016. Picketing']","['016. Picketing', '038. Marches']",,3 years,Migrant Justice of Vermont,"US College Students, Vermont Consumers",Coalition of Immokalee Workers,"US Senator Bernie Sanders, Reporter Amy Goodman","Vermont Farmers, US Immigration and Customs Enforcement, Ben & Jerry's",,,"US ICE detained multiple activists, deporting one","['Economic Justice', 'Human Rights']","['Defense', 'Change']",['Immigrant Dairy Workers'],"['Migrant Justice', 'Coalition of Immokalee Workers (CIW)']",,,,,,6 out of 6 points,1 out of 1 points,2 out of 3 points,9 out of 10 points,,https://nvdatabase.swarthmore.edu/content/vermont-migrant-farmworkers-picket-and-march-ben-and-jerry-s-sign-pledge-milk-dignity
"Incarcerated people and allies rally to turn on heat and power in NYC federal jail, 2019",The return of heat and hot water as well as the ability for families and lawyers to visit incarcerated people.,,"1 February, 2019 to 3 February, 2019",['United States'],"Brooklyn, NY",Metropolitan Detention Center Brooklyn,"['(Mainly or Initiated by) People of Color', 'An Example of Paradox of Repression', 'Included Participation by More Than One Social Class']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '047. Assemblies of protest or support']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '047. Assemblies of protest or support']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '047. Assemblies of protest or support', '170. Nonviolent invasion']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '047. Assemblies of protest or support']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '047. Assemblies of protest or support']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '047. Assemblies of protest or support']",,0.5 day,"Incarcerated people
Family and friends of incarcerated people",Public defenders,,"Representative Nydia Velazquez
Representative Jerry Nadler
Councilmember Brad Lander
Comptroller Scott Stringer
Mayor Bill de Blasio
Governor Andrew Cuomo","Federal Bureau of Prisons
Warden Herman Quay",No nonviolent responses of opponent.,No campaigner violence.,COs sprayed tear gas on those trying to enter the prison.,['Human Rights'],['Change'],"['incarcerated people', 'family members of incarcerated people', 'primarily people of color', 'elected officials']","['Incarcerated people', 'family and friends of incarcerated people']","['Representative Nydia Velazquez', 'Representative Jerry Nadler', 'Councilmember Brad Lander', 'Comptroller Scott Stringer']",,['Mayor Bill de Blasio'],,['Governor Andrew Cuom'],6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,,https://nvdatabase.swarthmore.edu/content/incarcerated-people-and-allies-rally-turn-heat-and-power-nyc-federal-jail-2019
"Bangladeshis use art and performance to demand the release of Bangladeshi photographer Shahidul Alam, 2018","1. Free Shahidul Alam, journalists and students arrested during the road safety protests in 2018 
2. Press freedom for journalists 
3. Freedom of expression for all citizens",,"5 August, 2018 to 20 November, 2018","['Bangladesh', 'United States', 'France', 'Germany', 'United Kingdom']","Dhaka, Washington D.C, New York, Perpignan, Berlin, all over the United Kingdom",,"['(Mainly or Initiated by) People of Color', 'Included Innovative Organizational Forms/Communication Forms']","['003. Declarations by organizations and institutions', '004. Signed public statements', '006. Group or mass petitions', '047. Assemblies of protest or support']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '019. Wearing of symbols', '036. Performances of plays and music', '047. Assemblies of protest or support', 'Other...']","['003. Declarations by organizations and institutions', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '116. Generalised strike']","['004. Signed public statements', '008. Banners, posters, and displayed communications']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '047. Assemblies of protest or support', '171. Nonviolent interjection', 'Other...']","['007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '047. Assemblies of protest or support']",,18 days,"Sofie Karim on social media platforms, others not known","Alta Tecnologia Andina (ATA), Cultural Centre Ricardo Palma, Drik Gallery, Bangladesh Chhatra Federtion, United Kingdom galleries, museums, organizations","Transparency International Bangladesh, Reporters Without Borders, Committee to Protect Journalists, Amnesty International, Bandhu Social Welfare Society, Bangladesh Adivasi Forum, Bangladesh Dalit and Excluded Rights Movements, Bangladesh Mahila Parishad, Committee to Protect Journalists, Sramik Nirapotta Forum, Boys of Bangladesh, Friends Association for Integrated Revolution, International Freedom of Expression Exchange, , Manusher Jonno Foundation, National Alliance of Disabled Peoples Organisations, Nijera Kori, Steps Towards Development,  Nagorik Uddyog, Open Society Foundations Programme on Independent Journalism and Jagriti Prokashoni, Acid Survivors Foundation, Index on Censorship, Ain o Salish Kendra, ARTICLE 19, Prince Claus Fund for Culture and Development, Free Press Unlimited, World PressPhoto Foundation, Human Rights Watch, United Nations, Indian artists and filmmakers,","Renowned allies: 
Arundhati Roy, Eve Ensler, Naomi Klein, Noam Chomsky, Vijay Prashad, Taslima Akhter Lima, Shirin Haque, Gro Harlem Brundtland, Sir Richard Branson, Richard Curtis, Sharon Stone, David Jones, Jerome Jarre, Alaa Murabit, Marina Mahathir, Ella Robertson, Kate Robertson, Jimmy Wales, Mo Ibrahim, Kerry Kennedy

Anu Muhammad, Khushi Kabir, Meghna Guhathakurta, Arup Rahee, Konnie Huq, Tulip Siddiq, 

Nobel laureates:
Nobel Peace Prize laureates Archbishop Desmond Tutu, Jody Williams, Professor Dr. Muhammad Yunus, Tawakkol Karman, Oscar Arias, Jose Ramos-Horta, Mairead Maguire, Betty Williams, Sir Richard J Roberts, Amartya Sen","Bangladeshi government and law enforcement, Prime Minister Sheikh Hasina",None,None,Shahidul Alam was beaten and tortured by the police while in custody,['Human Rights'],['Change'],"['Journalists', 'human rights groups', 'academics', 'artists', 'writers', 'Social activists', 'students', 'Musicians', 'filmmakers', 'photographers', 'nobel laureates', 'galleries', 'universities']","['Journalists', 'human rights groups', 'academics', 'writers', 'artists', 'Social Activists', 'Students', 'filmmakers', 'photograpohers', 'nobel laureates']","['Galleries', 'universities', 'musicians']",,,,,4 out of 6 points,0.5 out of 1 points,3 out of 3 points,7.5 out of 10 points,"Shahidul Alam was released from jail but the issue of press freedom in the country has gone largely unacknowledged by the government of Bangladesh. After his release, the campaign did not continue to achieve its other goals. However, it brought the treatment of journalists in Bangladesh to light for both citizens of Bangladesh and the rest of the world.",https://nvdatabase.swarthmore.edu/content/bangladeshis-use-art-and-performance-demand-release-bangladeshi-photographer-shahidul-alam-2
"American Labor Activists rally to build support for the Employee Free Choice Act, 2003","To display solidarity and strength of the United States Labor Movement
Build support for the Employee Free Choice Act",,"02 December, 2003 to 10 December, 2003",['United States'],,"Actions happened across America, mainly in metropolitan areas","['Included Participation by More Than One Social Class', 'Included Innovative Organizational Forms/Communication Forms']","['002. Letters of opposition or support', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '047. Assemblies of protest or support', '050. Teach-ins']","['047. Assemblies of protest or support', '048. Protest meetings', '050. Teach-ins']",,"['015. Group lobbying', '048. Protest meetings', '050. Teach-ins']",,"['001. Public speeches', '002. Letters of opposition or support', '008. Banners, posters, and displayed communications', '010. Newspapers and journals', '011. Records, radio, and television', '015. Group lobbying', '016. Picketing', '034. Vigils', '036. Performances of plays and music', '037. Singing', '047. Assemblies of protest or support', '048. Protest meetings', '050. Teach-ins']",,1.5 Days,AFL-CIO,"Amnesty International
Local Unions 
Local Universities",,Senator Ted Kennedy,"Republican Party
Pro Business Lobby
Moderate Democratic Represenatives","News and Op-Eds against Employee Free Choice Act 
Lobbying against the Employee Free Choice Act",None,None,['Economic Justice'],['Change'],"['workers', 'Labor union members']","['Ted Kennedy', 'AFL-CIO', 'Local Students', 'Local Unions']",,,,['Amnesty International'],,4 out of 6 points,1 out of 1 points,3 out of 3 points,8 out of 10 points,"The campaign succeeded in legitimizing the Employee Free Choice Act. However, the AFL-CIO never achieved their goal of actually having the Act assigned into law.",https://nvdatabase.swarthmore.edu/content/american-labor-activists-rally-build-support-employee-free-choice-act-2003
"Pennsylvanians Block Natural Gas Facility, 2014-2015",Prevent the construction and operation of a gas-to-liquid facility within the town,,"March 21, 2014 to February 6, 2015",['United States'],"South Heidelberg, Pennsylvania",Rural Pennsylvania community,['Local Community or Neighborhood-level Campaign'],"['006. Group or mass petitions', '007. Slogans, caricatures, and symbols', '009. Leaflets, pamphlets, and books', '015. Group lobbying', '019. Wearing of symbols', '048. Protest meetings']","['006. Group or mass petitions', '007. Slogans, caricatures, and symbols', '019. Wearing of symbols']","['006. Group or mass petitions', '007. Slogans, caricatures, and symbols']","['006. Group or mass petitions', '007. Slogans, caricatures, and symbols']","['006. Group or mass petitions', '007. Slogans, caricatures, and symbols']","['007. Slogans, caricatures, and symbols']",,2 months,"Residents of South Heidelberg, South Heidelberg Township Community Association",,,,"South Heidelberg Board of Supervisors, Emberclear",,No campaigner violence,No repressive vioence,['Environment'],['Defense'],"['Emberclear', 'South Heidelberg Board of Supervisors', 'Residents of South Heidelberg', 'South Heidelberg Township Community Association']","['Emberclear', 'Residents of South Heidelberg', 'South Heidelberg Township Community Association', 'South Heidelberg Board of Supervisors']",,,,,,4 out of 6 points,1 out of 1 points,1 out of 3 points,6 out of 10 points,"The campaign was successful in that the Emberclear facility was never built, but it is debatable whether protestors or financial difficulty had a larger impact. While SHCTA still operates at the time of the writing of this case, the organization operates only in the context of its township.",https://nvdatabase.swarthmore.edu/content/pennsylvanians-block-natural-gas-facility-2014-2015
"Barnard College wins divestment from fossil fuel companies, 2013-2017",For the Barnard Board of Trustees to divest from fossil fuel companies that denied climate change or do not support efforts to mitigate the impacts of climate change.,Fossil Fuel Divestment Movement (2010 - ),"October, 2013 to March, 2017",['United States'],"New York, NY",Barnard College,['(Mainly or Initiated by) Student Participants'],['003. Declarations by organizations and institutions'],,"['008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '050. Teach-ins']","['006. Group or mass petitions', '009. Leaflets, pamphlets, and books', '050. Teach-ins']","['001. Public speeches', '047. Assemblies of protest or support', '050. Teach-ins']",['050. Teach-ins'],,7 months,Divest Barnard,,"Reinvest Dickinson
Divest Middlebury
Divest Smith College
Seven Sisters Coalition to Divest",,"Board of Trustees
President Debora Spar",,No campaigner violence.,No repressive violence.,['Economic Justice'],['Change'],"['students', 'Women']",['Divest Barnard'],,,"['Investure Schools’ Coalition', 'Presidential Taskforce to Examine Divestment']",,,6 out of 6 points,1 out of 1 points,2 out of 3 points,9 out of 10 points,Divest Barnard achieved their goal when the Board of Trustees voted to divest from companies that deny climate change and companies that mine coal and tar sands in March of 2017.,https://nvdatabase.swarthmore.edu/content/barnard-college-wins-divestment-fossil-fuel-companies-2013-2017
