"country_usa","country_canada","country_mexico","country_total","pcs_indigenous","pcs_poc","pcs_students","pcs_women","pcs_repression","pcs_regime","pcs_innovative","pcs_class","pcs_local","pcs_total","opp_nv","methods_unique_ct","methods_nvprotest","methods_social","methods_boycotts","methods_strikes","methods_political","methods_nvintervention","methods_other","methods_1_ct","methods_2_ct","methods_3_ct","methods_4_ct","methods_5_ct","methods_6_ct","methods_addl_ct","segment_length_days","had_partners","had_allies","had_social_elites","had_campaigner_violence","had_repressive_violence","cluster_democracy","cluster_economic","cluster_environment","cluster_humanrights","cluster_ethnicidentity","cluster_peace","cluster_total","class_change","class_defense","class_intervention","class_total","groups","success_goal","success_survival","success_growth","success_total","success_above_avg"
1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,2,2,2,2,2,2,0,10,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,1,6,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,3,0,2,3,3,3,3,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,5,1,3,9,1
1,0,0,1,0,1,0,1,0,0,0,0,0,2,1,8,5,1,1,1,0,0,0,1,2,1,1,2,5,0,121.68,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,3,6,1,3,10,1
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4,3,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,6,1,2,9,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,3,0,1,2,2,0,1095,1,1,1,0,1,0,1,0,1,0,0,2,1,1,0,2,1,6,1,2,9,1
1,0,0,1,0,1,0,0,1,0,0,1,0,3,0,4,3,0,0,0,0,1,0,3,3,4,3,3,3,0,0.5,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,4,6,1,3,10,1
1,0,0,5,0,1,0,0,0,0,1,0,0,2,0,10,8,0,0,1,0,1,0,4,5,4,2,4,3,0,18,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,13,4,0.5,3,7.5,1
1,0,0,1,0,0,0,0,0,0,1,1,0,2,1,14,14,0,0,0,0,0,0,5,3,0,3,0,13,0,1.5,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,2,4,1,3,8,1
1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,6,6,0,0,0,0,0,0,6,3,2,2,2,1,0,60.84,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,4,4,1,1,6,0
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,1,0,3,3,3,1,0,212.94,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,6,1,2,9,1
