"country_total","pcs_local","pcs_total","methods_unique_ct","segment_length_days","had_social_elites","had_campaigner_violence","had_repressive_violence","cluster_total","class_total","success_goal","success_survival","success_growth","success_total","success_above_avg"
1,1,1,2,10,0,1,0,1,0,4,1,1,6,0
1,0,0,5,1,1,0,0,1,1,5,1,3,9,1
1,0,2,8,121.68,1,0,0,1,1,6,1,3,10,1
1,0,1,4,0,0,0,1,1,1,6,1,2,9,1
1,0,0,5,1095,1,0,1,2,2,6,1,2,9,1
1,0,3,4,0.5,1,0,1,1,1,6,1,3,10,1
5,0,2,10,18,1,0,1,1,1,4,0.5,3,7.5,1
1,0,2,14,1.5,1,0,0,1,1,4,1,3,8,1
1,1,1,6,60.84,0,0,1,1,1,4,1,1,6,0
1,0,1,7,212.94,0,0,0,1,1,6,1,2,9,1
1,1,2,13,65,0,0,0,1,1,6,1,3,10,1
1,1,2,12,182.52,0,0,0,2,1,4,1,3,8,1
1,0,2,13,8,1,0,1,1,1,4,0.5,2,6.5,0
1,0,2,12,79.092,0,0,0,1,1,5,1,2,8,1
1,0,1,4,38,0,0,0,1,1,6,1,1,8,1
1,1,3,12,30.42,0,0,0,1,1,6,1,1,8,1
1,0,1,5,31,1,0,0,1,1,6,1,2,9,1
1,1,2,7,30.42,0,0,1,2,1,5,1,3,9,1
1,1,1,21,851.76,1,0,1,3,1,6,1,2,9,1
1,0,2,6,58,1,0,0,1,1,4,1,3,8,1
1,1,1,1,12,1,0,0,1,1,6,0.5,2,8.5,1
1,0,0,6,17,0,0,0,1,1,4,1,2,7,1
1,0,0,7,80,1,0,1,1,1,2,1,3,6,0
1,1,2,11,334.62,1,0,1,3,1,6,1,3,10,1
1,0,1,4,10,1,0,1,1,1,0,1,1,2,0
1,0,1,4,76.05,0,0,0,1,1,5,1,3,9,1
1,1,3,12,790.92,0,0,0,3,2,6,1,3,10,1
1,1,2,11,129,0,0,0,1,1,6,1,3,10,1
1,1,2,12,608.4,1,0,0,3,2,0,0,3,3,0
1,0,2,4,10,0,0,1,1,1,5,1,3,9,1
1,1,2,10,0,1,0,0,2,1,5,1,3,9,1
1,0,0,5,7,1,0,0,2,1,4,1,3,8,1
1,0,1,7,14,0,0,0,1,1,4,1,2,7,1
1,1,2,10,7,1,0,0,1,1,4,1,2,7,1
1,0,0,17,65,1,0,1,2,1,3,1,2,6,0
1,1,2,7,152.1,1,0,0,1,1,6,1,2,9,1
1,1,2,5,60.84,0,0,1,2,1,6,1,2,9,1
1,1,2,15,206,1,0,1,1,1,6,1,3,10,1
1,1,1,35,152.1,1,0,0,1,2,5,1,3,9,1
1,0,0,1,8.5,0,0,0,1,1,5,1,1,7,1
1,1,2,10,43,0,0,0,1,1,6,1,1,8,1
1,1,2,7,152.1,0,0,0,1,1,6,1,2,9,1
1,1,2,6,3.33,0,0,0,2,1,6,1,2,9,1
1,0,0,9,18,0,0,0,1,2,6,1,2,9,1
1,1,3,7,91.26,0,0,0,2,1,0,0,1,1,0
1,0,1,3,0.691666666666667,0,0,0,1,1,5,1,3,9,1
1,1,2,3,56,0,0,0,1,1,0,0,2,2,0
1,1,3,11,24.17,1,0,0,1,1,6,1,3,10,1
1,1,1,6,98.865,1,0,0,2,1,6,0.5,1,7.5,1
